Date,Open,High,Low,Close,Volume
Sep-20-2010,7154.6602,7277.7100,7154.6602,7266.0200,0
Sep-17-2010,7169.4702,7197.5400,7136.4399,7154.6499,0
Sep-16-2010,7179.7700,7179.7700,7138.7100,7169.4800,0
Sep-15-2010,7162.0801,7186.4399,7114.4600,7179.7900,0
Sep-14-2010,7156.1802,7200.4102,7119.4199,7162.0801,0
Sep-13-2010,7067.5298,7167.3799,7067.5298,7156.1802,0
Sep-10-2010,7034.3701,7075.6099,7034.3701,7067.5098,0
Sep-09-2010,6999.9702,7080.2900,6999.9702,7034.3701,0
Sep-08-2010,6959.9399,7033.8901,6959.9399,6999.9399,0
Sep-07-2010,7055.2402,7055.2402,6955.4902,6959.9399,0
Sep-03-2010,6966.3301,7063.2300,6966.3301,7055.0298,0
Sep-02-2010,6910.9800,6966.3501,6905.1401,6966.2500,0
Sep-01-2010,6704.2300,6915.7100,6704.2300,6910.9800,0
Aug-31-2010,6695.2402,6744.3701,6652.3198,6704.1499,0
Aug-30-2010,6794.9102,6794.9102,6694.7002,6695.2798,0
Aug-27-2010,6665.3101,6797.4102,6631.2700,6794.9102,0
Aug-26-2010,6696.1699,6755.1699,6651.1802,6665.2598,0
Aug-25-2010,6681.0298,6716.5200,6594.9502,6696.1201,0
Aug-24-2010,6784.9502,6784.9502,6639.3398,6681.0298,0
Aug-23-2010,6813.1802,6875.9399,6784.9600,6784.9702,0
Aug-20-2010,6850.3799,6850.3799,6760.4302,6813.1499,0
Aug-19-2010,6967.9902,6967.9902,6821.9102,6850.4502,0
Aug-18-2010,6959.7900,6999.7402,6918.3999,6968.0801,0
Aug-17-2010,6871.6201,7001.0801,6871.6201,6959.7900,0
Aug-16-2010,6860.8501,6890.0601,6812.5400,6871.5801,0
Aug-13-2010,6881.8301,6908.6802,6858.8198,6861.0400,0
Aug-12-2010,6902.7002,6902.7402,6841.3398,6881.9399,0
Aug-11-2010,7139.7402,7139.7402,6897.4702,6902.7100,0
Aug-10-2010,7188.2002,7188.2002,7068.4199,7139.7500,0
Aug-09-2010,7153.7500,7196.5400,7147.7700,7188.2998,0
Aug-06-2010,7174.2500,7174.2500,7068.2900,7153.7202,0
Aug-05-2010,7182.1401,7182.1401,7134.3701,7174.2700,0
Aug-04-2010,7146.9702,7190.7900,7136.1699,7182.1401,0
Aug-03-2010,7174.8101,7181.8101,7113.5898,7146.9902,0
Aug-02-2010,6999.1001,7183.1201,6999.1001,7174.8999,0
Jul-30-2010,6994.5698,7024.2700,6910.7598,6998.9902,0
Jul-29-2010,6999.1899,7081.3799,6939.4199,6994.5698,0
Jul-28-2010,7044.9800,7051.6401,6979.5298,6999.1802,0
Jul-27-2010,7046.0601,7092.5498,7015.0801,7044.9902,0
Jul-26-2010,6965.1499,7046.0000,6954.4502,7046.0000,0
Jul-23-2010,6901.9399,6971.3701,6864.7900,6965.1099,0
Jul-22-2010,6731.1602,6919.9302,6731.1602,6901.9102,0
Jul-21-2010,6820.1201,6852.9399,6701.3301,6731.1602,0
Jul-20-2010,6739.3799,6823.1201,6654.2300,6820.0400,0
Jul-19-2010,6709.5200,6760.6201,6679.5298,6739.6401,0
Jul-16-2010,6916.7300,6916.7300,6699.7700,6709.5098,0
Jul-15-2010,6903.3599,6927.6802,6814.6499,6916.8101,0
Jul-14-2010,6907.7598,6928.6401,6853.4902,6903.3599,0
Jul-13-2010,6794.4502,6929.8799,6794.4502,6907.7798,0
Jul-12-2010,6808.7100,6811.9502,6744.1099,6794.4800,0
Jul-09-2010,6755.8101,6809.4702,6737.5898,6808.7100,0
Jul-08-2010,6685.8101,6756.9600,6679.7998,6755.8101,0
Jul-07-2010,6486.1401,6688.8501,6486.1401,6685.7798,0
Jul-06-2010,6434.8398,6585.1299,6428.2402,6486.1201,0
Jul-02-2010,6462.0498,6509.6001,6396.9502,6434.8101,0
Jul-01-2010,6469.6499,6502.7500,6355.8301,6462.0298,0
Jun-30-2010,6520.1802,6574.4600,6454.3398,6469.6499,0
Jun-29-2010,6735.5698,6735.5698,6482.3398,6520.0898,0
Jun-28-2010,6763.9302,6794.1299,6724.5601,6736.6001,0
Jun-25-2010,6730.2100,6792.5898,6689.2700,6763.9302,0
Jun-24-2010,6850.0200,6850.0200,6719.5200,6730.2402,0
Jun-23-2010,6858.9502,6893.5400,6794.0801,6850.0498,0
Jun-22-2010,6978.8599,7003.4199,6853.4702,6858.9502,0
Jun-21-2010,6988.2402,7088.7700,6947.2700,6978.8599,0
Jun-18-2010,6982.0400,7009.6299,6965.1099,6988.2402,0
Jun-17-2010,6976.0898,6998.5400,6918.8501,6982.0400,0
Jun-16-2010,6989.8599,7002.0298,6922.7100,6976.0801,0
Jun-15-2010,6817.9800,6991.3501,6817.9800,6989.8799,0
Jun-14-2010,6814.7798,6922.8599,6811.8101,6817.9702,0
