CODE,DATE,CLOSING PRICE,CLOSING PRICE,CLOSING PRICE
NYA,3/12/2004,6545.96,6545.96,6545.96
NYA,3/15/2004,6445.12,6445.12,6445.12
NYA,3/16/2004,6489.71,6489.71,6489.71
NYA,3/17/2004,6567.72,6567.72,6567.72
NYA,3/18/2004,6561.17,6561.17,6561.17
NYA,3/19/2004,6501.53,6501.53,6501.53
NYA,3/22/2004,6404.27,6404.27,6404.27
NYA,3/23/2004,6418.32,6418.32,6418.32
NYA,3/24/2004,6375.67,6375.67,6375.67
NYA,3/25/2004,6464.42,6464.42,6464.42
NYA,3/26/2004,6469.57,6469.57,6469.57
NYA,3/29/2004,6553.56,6553.56,6553.56
NYA,3/30/2004,6586.63,6586.63,6586.63
NYA,3/31/2004,6599.06,6599.06,6599.06
NYA,4/1/2004,6644.34,6644.34,6644.34
NYA,4/2/2004,6680.33,6680.33,6680.33
NYA,4/5/2004,6715.09,6715.09,6715.09
NYA,4/6/2004,6694.14,6694.14,6694.14
NYA,4/7/2004,6675.4,6675.4,6675.4
NYA,4/8/2004,6655.71,6655.71,6655.71
NYA,4/12/2004,6683.65,6683.65,6683.65
NYA,4/13/2004,6583.63,6583.63,6583.63
NYA,4/14/2004,6551.17,6551.17,6551.17
NYA,4/15/2004,6569.46,6569.46,6569.46
NYA,4/16/2004,6616.93,6616.93,6616.93
NYA,4/19/2004,6620.05,6620.05,6620.05
NYA,4/20/2004,6527.12,6527.12,6527.12
NYA,4/21/2004,6546.77,6546.77,6546.77
NYA,4/22/2004,6633.3,6633.3,6633.3
NYA,4/23/2004,6616.88,6616.88,6616.88
NYA,4/26/2004,6597.7,6597.7,6597.7
NYA,4/27/2004,6612.7,6612.7,6612.7
NYA,4/28/2004,6500.21,6500.21,6500.21
NYA,4/29/2004,6452.23,6452.23,6452.23
NYA,4/30/2004,6439.42,6439.42,6439.42
NYA,5/3/2004,6488.75,6488.75,6488.75
NYA,5/4/2004,6531.24,6531.24,6531.24
NYA,5/5/2004,6554.02,6554.02,6554.02
NYA,5/6/2004,6483.09,6483.09,6483.09
NYA,5/7/2004,6364.07,6364.07,6364.07
NYA,5/10/2004,6251.82,6251.82,6251.82
NYA,5/11/2004,6300.96,6300.96,6300.96
NYA,5/12/2004,6311.14,6311.14,6311.14
NYA,5/13/2004,6294.58,6294.58,6294.58
NYA,5/14/2004,6293.34,6293.34,6293.34
NYA,5/17/2004,6231.19,6231.19,6231.19
NYA,5/18/2004,6276.53,6276.53,6276.53
NYA,5/19/2004,6287.16,6287.16,6287.16
NYA,5/20/2004,6277.11,6277.11,6277.11
NYA,5/21/2004,6308.12,6308.12,6308.12
NYA,5/24/2004,6334.13,6334.13,6334.13
NYA,5/25/2004,6429.32,6429.32,6429.32
NYA,5/26/2004,6435.14,6435.14,6435.14
NYA,5/27/2004,6492.3,6492.3,6492.3
NYA,5/28/2004,6484.72,6484.72,6484.72
NYA,6/1/2004,6487.25,6487.25,6487.25
NYA,6/2/2004,6506.34,6506.34,6506.34
NYA,6/3/2004,6456.71,6456.71,6456.71
NYA,6/4/2004,6503.88,6503.88,6503.88
NYA,6/7/2004,6610.89,6610.89,6610.89
NYA,6/8/2004,6603.42,6603.42,6603.42
NYA,6/9/2004,6525.52,6525.52,6525.52
NYA,6/10/2004,6556.97,6556.97,6556.97
NYA,6/14/2004,6465.21,6465.21,6465.21
NYA,6/15/2004,6526.03,6526.03,6526.03
NYA,6/16/2004,6535.37,6535.37,6535.37
NYA,6/17/2004,6546.01,6546.01,6546.01
NYA,6/18/2004,6566.58,6566.58,6566.58
NYA,6/21/2004,6545.16,6545.16,6545.16
NYA,6/22/2004,6553.81,6553.81,6553.81
NYA,6/23/2004,6602.34,6602.34,6602.34
NYA,6/24/2004,6597.56,6597.56,6597.56
NYA,6/25/2004,6571.2,6571.2,6571.2
NYA,6/28/2004,6571.58,6571.58,6571.58
NYA,6/29/2004,6574.52,6574.52,6574.52
NYA,6/30/2004,6602.99,6602.99,6602.99
NYA,7/1/2004,6544.76,6544.76,6544.76
